score,main_benefit,improvement,persona
10,"Incredibly fast, saves me hours every week on reporting.","Nothing major, maybe more keyboard shortcuts.",Ops Lead
9,"The dashboard is intuitive and loads quickly even with big datasets.","Would love a dark mode option.",Analyst
10,"Support team replies within minutes, genuinely impressive.","Could use a few more export formats.",Founder
9,"Setup took ten minutes, no help needed at all.","Minor UI polish here and there, nothing urgent.",Manager
10,"Reliable every single day, never goes down on us.","More granular permissions would be nice.",Engineer
8,"Solid reporting tools, gets the job done.","Pricing tiers are confusing to compare.",Manager
7,"Decent core features, works fine day to day.","Mobile app is missing half the features the desktop has.",Founder
8,"Covers the essentials well.","Onboarding docs could be clearer, took a while to get oriented.",Engineer
7,"Good enough for our basic needs.","Wish there were more export options in reports.",Analyst
8,"Works well but sometimes syncing is slow.","Dashboard customization is limited.",Ops Lead
3,"Not much benefit lately given the issues.","Export crashes when the file is over 10mb, lost my work twice.",Analyst
2,"Used to be useful before the recent problems.","Constant bugs when filtering large lists, very frustrating.",Engineer
4,"Hard to say, mostly frustrated right now.","Raised a support ticket two weeks ago, still no response.",Manager
1,"Not seeing much value right now.","Mobile experience is broken and painfully slow to load.",Founder
